API,CODE,EN
country_list,finish_country_list_success,"Country list found."
country_list,finish_country_list_failure,"No country data found."
country_with_states,finish_country_data_success,"Country data found."
country_with_states,finish_country_data_failure,"No country data found."
update_device_token,user_id_required,"Please enter a value for the user_id field."
update_device_token,device_token_required,"Please enter a value for the device_token field."
logout,user_id_required,"Please enter a value for the user id."
update_push_notification_settings,user_id_required,"Please enter a value for the user_id field."
update_push_notification_settings,notification_required,"Please enter a value for the notification field."
logout,users_finish_success,"You have successfully logged out!"
static_pages,page_code_required,"Please enter page_code."
static_pages,mod_page_settings_finish_success,"Page is available."
static_pages,mod_page_settings_finish_success_1,"Page not found"
change_mobile_number,users_finish_success,"This phone number is already registered with us."
change_mobile_number,users_finish_success_2,"Problem while updating phone number. Please try again."
change_mobile_number,users_finish_success_1,"Phone number changed successfully."
user_email_confirmation,confirmation_code_required,"Please enter confirmation code."
change_password,old_password_required,"Please enter old password"
change_password,new_password_required,"Please enter new password."
change_password,new_password_minlength,"Please enter minimum 6 characters for new password."
change_password,new_password_maxlength,"Please enter maximum 15 characters for new password"
change_password,user_id_required,"Please enter a value for the user id."
user_email_confirmation,users_finish_success_2,"This account is already activated."
user_email_confirmation,users_finish_success_1,"Your account is confirmed & activated. Now you can Sign in to application."
user_email_confirmation,users_finish_success,"Verification link is invalid. Please contact to {%SYSTEM.COMPANY_NAME%} administrator!"
user_sign_up_phone,finish_success_1,"#message# "
user_sign_up_phone,users_finish_success_1,"Something went wrong, Please try again a while!"
social_sign_up,users_finish_success_1,"Something went wrong, Please try again a while!"
social_sign_up,finish_success_1,"#message# "
check_unique_user,type_required,"Please enter a value for the type field."
check_unique_user,email_email,"Please enter valid email address for the email field."
check_unique_user,mobile_number_number,"Please enter valid number for the phone number field."
check_unique_user,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
check_unique_user,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
check_unique_user,user_name_alpha_numeric_without_spaces,"Please only enter letters and numbers without space for the user name field."
check_unique_user,user_name_minlength,"Please enter minimum 5 characters for the user name field."
check_unique_user,user_name_maxlength,"Please enter maximum 80 characters for the user name field."
check_unique_user,finish_success_1,"#message# "
send_verification_link,email_required,"Please enter a value for the email field."
send_verification_link,email_email,"Please enter valid email address for the email field."
send_verification_link,users_finish_success_2,"Please check your email and confirm your registration."
send_verification_link,users_finish_success,Failure
user_login_email,finish_success,"#message# "
user_login_email,users_finish_success,"Please provide valid login credentials."
user_login_email,users_finish_success_1,"Your account is not yet active. Please activate your account through verification email."
user_login_email,users_finish_success_4,"Error logging in.Please try again later on."
user_login_phone,finish_success,"#message# "
user_login_phone,users_finish_success_4,"Error logging in.Please try again later on."
social_login,users_finish_success_4,"Error logging in.Please try again later on."
social_login,finish_success,"#message# "
change_password,finish_success,"Your old password does not match."
post_a_feedback,user_query_finish_success_1,"Something went wrong, please try again a while!"
update_device_token,users_finish_success_1,"you successfully updated your device token."
update_device_token,users_finish_success,"Invalid user."
user_sign_up_email,finish_success_1,"#message# "
forgot_password,email_required,"Please enter a value for the email field."
forgot_password,email_email,"Please enter valid email address for the email field."
forgot_password,users_finish_success_2,"Forgot password email sent to '#u_email#' successfully. Please check your email."
reset_password_confirmation,finish_success,"#message# "
reset_password_confirmation,users_finish_success,Success
reset_password,new_password_required,"Please enter a value for the new_password field."
reset_password,reset_key_required,"Please enter a value for the reset_key field."
reset_password,users_finish_success,"Something went wrong, Please try again a while!"
get_template_message,template_code_required,"Please enter a value for the template_code field."
get_template_message,sms_template_finish_success,Success
send_sms,finish_success_1,"Fail to sent sms"
send_sms,finish_success,"Message Sent Successfully."
send_sms,mobile_number_required,"Please enter a value for the phone number field."
send_sms,mobile_number_number,"Please enter valid number for the phone number field."
send_sms,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
send_sms,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
send_sms,message_required,"Please enter a value for the message field."
reset_password_phone,new_password_required,"Please enter a value for the new_password field."
reset_password_phone,new_password_minlength,"Please enter minimum 6 characters for the password field."
reset_password_phone,new_password_maxlength,"Please enter maximum 15 characters for the password field."
reset_password_phone,mobile_number_required,"Please enter a value for the mobile_number field."
reset_password_phone,mobile_number_number,"Please enter valid number for the mobile_number field."
reset_password_phone,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
reset_password_phone,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
reset_password_phone,reset_key_required,"Please enter a value for the reset_key field."
reset_password_phone,users_finish_success,"Invalid phone number or reset key."
social_login,users_finish_success,"Please provide valid login credentials."
check_unique_user,finish_success,success.
social_login,device_type_required,"Please enter a value for the device_type field."
social_login,device_model_required,"Please enter a value for the device_model field."
social_login,device_os_required,"Please enter a value for the device_os field."
user_login_phone,mobile_number_number,"Please enter valid number for the mobile_number field."
user_login_phone,device_type_required,"Please enter a value for the device_type field."
user_login_phone,device_model_required,"Please enter a value for the device_model field."
user_login_phone,device_os_required,"Please enter a value for the device_os field."
user_login_email,email_email,"Please enter valid email address for the email field."
user_login_email,device_type_required,"Please enter a value for the device_type field."
user_login_email,device_model_required,"Please enter a value for the device_model field."
user_login_email,device_os_required,"Please enter a value for the device_os field."
social_sign_up,first_name_minlength,"Please enter minimum 1 character for the first name field."
social_sign_up,first_name_maxlength,"Please enter maximum 80 character for the first name field."
social_sign_up,last_name_minlength,"Please enter minimum 1 character for the last name field."
social_sign_up,last_name_maxlength,"Please enter maximum 80 character for the last name field."
social_sign_up,user_name_alpha_numeric_without_spaces,"Please only enter letters and numbers without space for the user name field."
social_sign_up,user_name_minlength,"Please enter minimum 5 characters for the user name field."
social_sign_up,user_name_maxlength,"Please enter maximum 20 characters for the user name field."
social_sign_up,email_email,"Please enter valid email address for the email field."
social_sign_up,mobile_number_number,"Please enter valid number for the phone number field."
social_sign_up,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
social_sign_up,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
social_sign_up,zipcode_minlength,"Please enter minimum 5 characters for the zipcode field."
social_sign_up,zipcode_maxlength,"Please enter maximum 10 characters for the zipcode field."
social_sign_up,device_type_required,"Please enter a value for the device_type field."
social_sign_up,device_model_required,"Please enter a value for the device_model field."
social_sign_up,device_os_required,"Please enter a value for the device_os field."
social_sign_up,social_login_type_required,"Please enter a value for the social_login_type field."
social_sign_up,social_login_id_required,"Please enter a value for the social_login_id field."
user_sign_up_phone,first_name_minlength,"Please enter minimum 1 character for the first name field."
user_sign_up_phone,first_name_maxlength,"Please enter maximum 80 character for the first name field."
user_sign_up_phone,last_name_minlength,"Please enter minimum 1 character for the last name field."
user_sign_up_phone,last_name_maxlength,"Please enter maximum 80 character for the last name field."
user_sign_up_phone,user_name_alpha_numeric_without_spaces,"Please only enter letters and numbers without space for the user name field."
user_sign_up_phone,user_name_minlength,"Please enter minimum 5 characters for the user name field."
user_sign_up_phone,user_name_maxlength,"Please enter maximum 20 characters for the user name field."
user_sign_up_phone,email_email,"Please enter valid email address for the email field."
user_sign_up_phone,mobile_number_number,"Please enter valid number for the phone number field."
user_sign_up_phone,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
user_sign_up_phone,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
user_sign_up_phone,password_minlength,"Please enter minimum 6 characters for the password field."
user_sign_up_phone,password_maxlength,"Please enter maximum 15 characters for the password field."
user_sign_up_phone,zipcode_minlength,"Please enter minimum 5 characters for the zipcode field."
user_sign_up_phone,zipcode_maxlength,"Please enter maximum 10 characters for the zipcode field."
user_sign_up_phone,device_type_required,"Please enter a value for the device_type field."
user_sign_up_phone,device_model_required,"Please enter a value for the device_model field."
user_sign_up_phone,device_os_required,"Please enter a value for the device_os field."
edit_profile,users_finish_success,"Something went wrong, Please try again a while!"
edit_profile,users_finish_success_1,"Invalid user."
states_list,mod_state_finish_success_1,"No states found."
states_list,mod_state_finish_success,"State list found."
user_sign_up_email,first_name_minlength,"Please enter minimum 1 character for the first name field."
user_sign_up_email,first_name_maxlength,"Please enter maximum 80 character for the first name field."
user_sign_up_email,last_name_minlength,"Please enter minimum 1 character for the last name field."
user_sign_up_email,last_name_maxlength,"Please enter maximum 80 character for the last name field."
user_sign_up_email,user_name_alpha_numeric_without_spaces,"Please only enter letters and numbers without space for the user name field."
user_sign_up_email,user_name_minlength,"Please enter minimum 5 characters for the user name field."
user_sign_up_email,user_name_maxlength,"Please enter maximum 80 characters for the user name field."
user_sign_up_email,email_email,"Please enter valid email address for the email field."
user_sign_up_email,mobile_number_number,"Please enter valid number for the phone number field."
user_sign_up_email,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
user_sign_up_email,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
user_sign_up_email,password_minlength,"Please enter minimum 6 characters for the password field."
user_sign_up_email,password_maxlength,"Please enter maximum 15 characters for the password field."
user_sign_up_email,zipcode_minlength,"Please enter minimum 5 characters for the zipcode field."
user_sign_up_email,zipcode_maxlength,"Please enter maximum 10 characters for the zipcode field."
user_sign_up_email,device_type_required,"Please enter a value for the device_type field."
user_sign_up_email,device_model_required,"Please enter a value for the device_model field."
user_sign_up_email,device_os_required,"Please enter a value for the device_os field."
user_sign_up_email,users_finish_success_1,"Something went wrong, Please try again a while!"
check_unique_user,finish_success_3,"Please provide phone number."
admin_update_user_status_in_listing,user_id_required,"Please enter a value for the user_id field."
admin_update_user_status_in_listing,users_finish_success,success
edit_profile,users_finish_success_3,"#message# "
edit_profile,user_id_required,"Please enter a value for the user_id field."
edit_profile,first_name_minlength,"Please enter minimum 1 character for the first name field."
edit_profile,first_name_maxlength,"Please enter maximum 80 character for the first name field."
edit_profile,last_name_minlength,"Please enter minimum 1 character for the last name field."
edit_profile,last_name_maxlength,"Please enter maximum 80 character for the last name field."
edit_profile,zipcode_minlength,"Please enter minimum 5 characters for the zipcode field."
edit_profile,zipcode_maxlength,"Please enter maximum 10 characters for the zipcode field."
edit_profile,user_name_alpha_numeric_without_spaces,"Please only enter letters and numbers without space for the user name field."
edit_profile,user_name_minlength,"Please enter minimum 5 characters for the user name field."
edit_profile,user_name_maxlength,"Please enter maximum 80 characters for the user name field."
edit_profile,mobile_number_number,"Please enter valid number for the phone number field."
edit_profile,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
edit_profile,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
go_ad_free,users_finish_success,"Ads are removed successfully."
delete_account,users_finish_success,"Something went wrong. Please try again a while!"
delete_account,users_finish_success_1,"You have successfully deleted your account."
delete_account,user_id_required,"Please enter a value for the user_id field."
user_login_email,users_finish_success_2,"Your account is inactive. Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
social_login,users_finish_success_2,"Your account is inactive.Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
forgot_password_phone,users_finish_success_3,"Your account is no longer available. Please contact administrator ({%SYSTEM.EMAIL_ADMIN%})"
forgot_password_phone,users_finish_success,"Your account is inactive. Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
update_push_notification_settings,users_finish_success,"Notifications updated successfully."
update_push_notification_settings,users_finish_success_1,"something went wrong, Please try again a while!"
forgot_password_phone,mobile_number_required,"Please enter a value for the mobile_number field."
forgot_password_phone,mobile_number_number,"Please enter valid phone number."
forgot_password_phone,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
forgot_password_phone,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
change_mobile_number,user_id_required,"Please enter a value for the user_id field."
change_mobile_number,new_mobile_number_required,"Please enter a value for the new_mobile_number field."
change_mobile_number,new_mobile_number_number,"Please enter valid phone number."
change_mobile_number,new_mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
change_mobile_number,new_mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
post_a_feedback,device_type_required,"Please enter a value for the device_type field."
post_a_feedback,device_model_required,"Please enter a value for the device_model field."
post_a_feedback,device_os_required,"Please enter a value for the device_os field."
post_a_feedback,images_count_required,"Please enter a value for the images_count field."
post_a_feedback,user_query_finish_success,"You have successfully posted your feedback."
get_config_paramaters,finish_success,success.
user_sign_up_email,users_finish_success,"You have successfully registered. Please check your email and confirm your registration."
user_sign_up_phone,users_finish_success,"You have successfully registered."
social_sign_up,users_finish_success,"You have successfully registered."
edit_profile,users_finish_success_2,"Profile updated successfully."
user_login_email,users_finish_success_3,"You've successfully logged in."
user_login_phone,users_finish_success_3,"You've successfully logged in."
social_login,users_finish_success_3,"You've successfully logged in."
update_page_version,page_type_required,"Please enter a value for the page_type field."
update_page_version,finish_success_1,"Something went wrong, Please try again a  while!"
update_page_version,finish_success,"#message# "
check_unique_user,finish_success_2,"OTP has been sent to registered mobile number."
user_login_phone,users_finish_success,"Please provide valid login credentials."
user_login_phone,users_finish_success_2,"Your account is inactive. Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
forgot_password,users_finish_success,"Your account is inactive. Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
forgot_password_phone,users_finish_success_2,"OTP has been sent to your registered mobile number."
forgot_password_phone,users_finish_success_1,"Account does not exist for entered phone number."
forgot_password,users_finish_success_1,"Account does not exist for entered email."
social_login,users_finish_success_1,"Your account is no longer available. Please contact administrator (""{%SYSTEM.EMAIL_ADMIN%}"")."
user_login_phone,users_finish_success_1,"Your account is no longer available. Please contact administrator (""{%SYSTEM.EMAIL_ADMIN%}"")."
user_login_email,users_finish_success_5,"Your account is no longer available. Please contact administrator (""{%SYSTEM.EMAIL_ADMIN%}"")."
reset_password_phone,users_finish_success_1,"Password reset successfully."
reset_password,users_finish_success_1,"Password reset successfully."
change_password,users_finish_success,"Password updated successfully."
forgot_password,users_finish_success_3,"Your account is no longer available. Please contact administrator ({%SYSTEM.EMAIL_ADMIN%})"
